model,make,year,price,mileage,fuel_type,transmission,body_type,condition,seat,color,features,description,image_url
Grand Am,Pontiac,2004,84000,269109,Gasoline,Manual,Sedan,local_used,5,Silver,,"2004 Pontiac Grand Am (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
iA,Scion,2016,161000,119869,Gasoline,Automatic,Sedan,foreign_used,5,White,,"2016 Scion iA (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Grand Voyager,Plymouth,1998,100500,269720,Gasoline,Automatic,Wagon,foreign_used,5,White,,"1998 Plymouth Grand Voyager (foreign used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Imperial,Chrysler,1991,54000,280000,Gasoline,Automatic,Sedan,foreign_used,5,White,,"1991 Chrysler Imperial (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Imperial,Chrysler,1992,54000,280000,Gasoline,Automatic,Sedan,local_used,5,Silver,,"1992 Chrysler Imperial (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Imperial,Chrysler,1993,52000,280000,Gasoline,Automatic,Sedan,foreign_used,5,White,,"1993 Chrysler Imperial (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Grand Am,Pontiac,2003,121000,280000,Gasoline,Automatic,Coupe,foreign_used,4,Black,,"2003 Pontiac Grand Am (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Grand Am,Pontiac,2005,132000,280000,Gasoline,Automatic,Coupe,local_used,4,Black,,"2005 Pontiac Grand Am (locally used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Grand Caravan,Dodge,2017,363000,92003,Gasoline,Automatic,Wagon,foreign_used,5,Blue,,"2017 Dodge Grand Caravan (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
G6,Pontiac,2010,104500,194240,Gasoline,Automatic,Sedan,foreign_used,5,White,,"2010 Pontiac G6 (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Golf SportWagen,Volkswagen,2017,330000,96505,Gasoline,Automatic,Wagon,foreign_used,5,Gray,,"2017 Volkswagen Golf SportWagen (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Golf SportWagen,Volkswagen,2016,307000,137571,Gasoline,Automatic,Wagon,foreign_used,5,Gray,,"2016 Volkswagen Golf SportWagen (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Sigma,Mitsubishi,1990,45000,280000,Gasoline,Automatic,Sedan,local_used,5,Blue,,"1990 Mitsubishi Sigma (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Silhouette,Oldsmobile,2002,164500,280000,Gasoline,Automatic,Wagon,local_used,5,Red,All-Wheel Drive,"2002 Oldsmobile Silhouette (locally used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with all-wheel drive.",
G5,Pontiac,2007,148000,261962,Gasoline,Manual,Coupe,foreign_used,4,White,,"2007 Pontiac G5 (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
G5,Pontiac,2008,156500,204765,Gasoline,Manual,Coupe,foreign_used,4,White,,"2008 Pontiac G5 (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
G5,Pontiac,2009,140500,246339,Gasoline,Manual,Coupe,foreign_used,4,Red,,"2009 Pontiac G5 (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Sierra 1500HD,GMC,2006,189000,243963,Gasoline,Automatic,Truck,foreign_used,2,Black,All-Wheel Drive,"2006 GMC Sierra 1500HD (foreign used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Sierra C3,GMC,2001,145000,248693,Gasoline,Automatic,Truck,foreign_used,2,Silver,All-Wheel Drive,"2001 GMC Sierra C3 (foreign used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Sierra Classic 1500,GMC,1999,129000,280000,Gasoline,Automatic,Truck,foreign_used,2,Gray,,"1999 GMC Sierra Classic 1500 (foreign used), a budget-friendly truck well suited to hauling and rough roads — a good fit for adventure seekers.",
Galant,Mitsubishi,2010,101500,220153,Gasoline,Automatic,Sedan,foreign_used,5,Gray,,"2010 Mitsubishi Galant (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Galant,Mitsubishi,2011,136500,163509,Gasoline,Automatic,Sedan,local_used,5,Red,,"2011 Mitsubishi Galant (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Galant,Mitsubishi,2012,127000,198003,Gasoline,Automatic,Sedan,foreign_used,5,Orange,,"2012 Mitsubishi Galant (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Silhouette,Oldsmobile,2004,180000,280000,Gasoline,Automatic,Wagon,foreign_used,5,Gray,,"2004 Oldsmobile Silhouette (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Frontier,Nissan,2017,363000,95953,Gasoline,Automatic,Truck,foreign_used,2,Black,All-Wheel Drive,"2017 Nissan Frontier (foreign used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Silhouette,Oldsmobile,2003,160500,280000,Gasoline,Automatic,Wagon,local_used,5,Blue,,"2003 Oldsmobile Silhouette (locally used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Frontier,Nissan,2015,301000,108287,Gasoline,Automatic,Truck,foreign_used,2,White,All-Wheel Drive,"2015 Nissan Frontier (foreign used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Frontier,Nissan,2016,318000,102121,Gasoline,Automatic,Truck,foreign_used,2,White,All-Wheel Drive,"2016 Nissan Frontier (foreign used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Freestar,Ford,2007,187000,192002,Gasoline,Automatic,Wagon,foreign_used,5,Red,,"2007 Ford Freestar (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Freestar,Ford,2005,193000,280000,Gasoline,Automatic,Wagon,local_used,5,Black,,"2005 Ford Freestar (locally used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Freestar,Ford,2006,147500,258515,Gasoline,Automatic,Wagon,foreign_used,5,White,,"2006 Ford Freestar (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Forenza,Suzuki,2007,112500,188340,Gasoline,Manual,Sedan,local_used,5,White,,"2007 Suzuki Forenza (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Fox,Volkswagen,1991,52500,280000,Gasoline,Manual,Sedan,local_used,5,Blue,,"1991 Volkswagen Fox (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Fox,Volkswagen,1992,83500,280000,Gasoline,Manual,Coupe,local_used,4,Silver,,"1992 Volkswagen Fox (locally used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Fox,Volkswagen,1993,85500,280000,Gasoline,Manual,Coupe,foreign_used,4,Gray,,"1993 Volkswagen Fox (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Forenza,Suzuki,2006,85000,280000,Gasoline,Manual,Sedan,foreign_used,5,White,,"2006 Suzuki Forenza (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Forenza,Suzuki,2008,146000,248789,Gasoline,Manual,Wagon,foreign_used,5,Gray,,"2008 Suzuki Forenza (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Five Hundred,Ford,2006,87500,240625,Gasoline,Automatic,Sedan,local_used,5,Gray,All-Wheel Drive,"2006 Ford Five Hundred (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with all-wheel drive.",
Five Hundred,Ford,2007,94500,280000,Gasoline,Automatic,Sedan,foreign_used,5,Black,All-Wheel Drive,"2007 Ford Five Hundred (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with all-wheel drive.",
FJ Cruiser,Toyota,2012,192500,161092,Gasoline,Automatic,SUV,foreign_used,7,Black,All-Wheel Drive,"2012 Toyota FJ Cruiser (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Five Hundred,Ford,2005,95000,280000,Gasoline,Automatic,Sedan,foreign_used,5,White,,"2005 Ford Five Hundred (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Skylark,Buick,1997,68000,280000,Gasoline,Automatic,Sedan,foreign_used,5,Yellow,,"1997 Buick Skylark (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Skylark,Buick,1998,66500,280000,Gasoline,Automatic,Sedan,foreign_used,5,Gray,,"1998 Buick Skylark (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
FJ Cruiser,Toyota,2013,192500,129944,Gasoline,Manual,SUV,foreign_used,7,Red,All-Wheel Drive,"2013 Toyota FJ Cruiser (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
FJ Cruiser,Toyota,2014,181000,171499,Gasoline,Automatic,SUV,foreign_used,7,Black,All-Wheel Drive,"2014 Toyota FJ Cruiser (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Skylark,Buick,1996,82000,280000,Gasoline,Automatic,Coupe,local_used,4,Blue,,"1996 Buick Skylark (locally used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
F-250,Ford,1999,119000,269282,Gasoline,Manual,Truck,foreign_used,2,Gray,All-Wheel Drive,"1999 Ford F-250 (foreign used), a budget-friendly truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
F-250,Ford,1998,118500,254118,Gasoline,Manual,Truck,foreign_used,2,Gray,All-Wheel Drive,"1998 Ford F-250 (foreign used), a budget-friendly truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
F-250,Ford,1997,103500,280000,Gasoline,Manual,Truck,foreign_used,2,Yellow,All-Wheel Drive,"1997 Ford F-250 (foreign used), a budget-friendly truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
F-150 Heritage,Ford,2004,148000,267617,Gasoline,Manual,Truck,foreign_used,2,Black,,"2004 Ford F-150 Heritage (foreign used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers.",
F-150 SVT Lightning,Ford,1995,100500,280000,Gasoline,Automatic,Truck,local_used,2,White,,"1995 Ford F-150 SVT Lightning (locally used), a budget-friendly truck well suited to hauling and rough roads — a good fit for adventure seekers.",
Soul EV,Kia,2015,303500,157757,Electric,Automatic,Wagon,foreign_used,5,Gray,,"2015 Kia Soul EV (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. A electric powertrain keeps running costs low for eco-conscious drivers.",
Soul EV,Kia,2016,358000,94764,Electric,Automatic,Wagon,foreign_used,5,Gray,,"2016 Kia Soul EV (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. A electric powertrain keeps running costs low for eco-conscious drivers.",
Explorer Sport,Ford,2003,114500,280000,Gasoline,Automatic,SUV,foreign_used,7,Silver,,"2003 Ford Explorer Sport (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers.",
Explorer Sport,Ford,2002,111000,242987,Gasoline,Automatic,SUV,local_used,7,White,,"2002 Ford Explorer Sport (locally used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers.",
Explorer Sport,Ford,2001,118000,280000,Gasoline,Manual,SUV,foreign_used,7,Silver,All-Wheel Drive,"2001 Ford Explorer Sport (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Expedition,Ford,2017,278000,125229,Gasoline,Automatic,SUV,local_used,7,Black,All-Wheel Drive,"2017 Ford Expedition (locally used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Explorer Sport Trac,Ford,2008,187500,220406,Gasoline,Automatic,Truck,foreign_used,2,Black,All-Wheel Drive,"2008 Ford Explorer Sport Trac (foreign used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Soul,Kia,2015,263500,145876,Gasoline,Automatic,Wagon,foreign_used,5,Gray,,"2015 Kia Soul (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Soul,Kia,2016,288000,108861,Gasoline,Automatic,Wagon,foreign_used,5,Gray,,"2016 Kia Soul (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Soul,Kia,2014,266000,141924,Gasoline,Automatic,Wagon,local_used,5,White,,"2014 Kia Soul (locally used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Expedition,Ford,2016,256500,139298,Gasoline,Automatic,SUV,foreign_used,7,Black,All-Wheel Drive,"2016 Ford Expedition (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Spectra,Kia,2007,91500,223356,Gasoline,Manual,Sedan,local_used,5,Black,,"2007 Kia Spectra (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Spirit,Dodge,1993,49500,280000,Gasoline,Automatic,Sedan,foreign_used,5,White,,"1993 Dodge Spirit (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Spirit,Dodge,1994,57500,280000,Gasoline,Automatic,Sedan,foreign_used,5,Blue,,"1994 Dodge Spirit (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Spirit,Dodge,1995,56000,280000,Gasoline,Automatic,Sedan,foreign_used,5,Red,,"1995 Dodge Spirit (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Esteem,Suzuki,2001,72500,275281,Gasoline,Automatic,Sedan,local_used,5,Black,,"2001 Suzuki Esteem (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Spectra,Kia,2009,117500,170724,Gasoline,Manual,Sedan,foreign_used,5,Gray,,"2009 Kia Spectra (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Spectra,Kia,2008,162000,238898,Gasoline,Automatic,Wagon,local_used,5,Red,,"2008 Kia Spectra (locally used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Sportvan,Chevrolet,1995,91000,280000,Gasoline,Automatic,Wagon,local_used,5,Blue,,"1995 Chevrolet Sportvan (locally used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Escort,Ford,2001,120000,240096,Gasoline,Manual,Coupe,local_used,4,White,,"2001 Ford Escort (locally used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Escort,Ford,2002,122500,250542,Gasoline,Manual,Coupe,foreign_used,4,Red,,"2002 Ford Escort (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
EuroVan,Volkswagen,2003,146500,226592,Gasoline,Automatic,Wagon,foreign_used,5,Black,,"2003 Volkswagen EuroVan (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Sportvan,Chevrolet,1994,95000,280000,Gasoline,Automatic,Wagon,local_used,5,Black,,"1994 Chevrolet Sportvan (locally used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Esteem,Suzuki,2002,141000,280000,Gasoline,Automatic,Wagon,foreign_used,5,White,,"2002 Suzuki Esteem (foreign used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
EuroVan,Volkswagen,2001,151000,280000,Gasoline,Automatic,Wagon,foreign_used,5,Silver,,"2001 Volkswagen EuroVan (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
EuroVan,Volkswagen,2002,148500,280000,Gasoline,Automatic,Wagon,foreign_used,5,White,,"2002 Volkswagen EuroVan (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Stanza,Nissan,1992,50000,280000,Gasoline,Manual,Sedan,foreign_used,5,Black,,"1992 Nissan Stanza (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Equator,Suzuki,2011,234500,166714,Gasoline,Automatic,Truck,foreign_used,2,Black,All-Wheel Drive,"2011 Suzuki Equator (foreign used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Equator,Suzuki,2012,219000,196682,Gasoline,Manual,Truck,foreign_used,2,Blue,,"2012 Suzuki Equator (foreign used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers.",
Stanza,Nissan,1990,49000,280000,Gasoline,Manual,Sedan,foreign_used,5,Blue,,"1990 Nissan Stanza (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Stanza,Nissan,1991,45500,280000,Gasoline,Manual,Sedan,foreign_used,5,Black,,"1991 Nissan Stanza (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Escort,Ford,2003,122000,280000,Gasoline,Manual,Coupe,foreign_used,4,Blue,,"2003 Ford Escort (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Estate Wagon,Buick,1990,86500,280000,Gasoline,Automatic,Wagon,foreign_used,5,Blue,,"1990 Buick Estate Wagon (foreign used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Esteem,Suzuki,2000,64000,280000,Gasoline,Manual,Sedan,foreign_used,5,Gray,,"2000 Suzuki Esteem (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Envoy,GMC,2009,192000,186161,Gasoline,Automatic,SUV,foreign_used,7,White,All-Wheel Drive,"2009 GMC Envoy (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Eos,Volkswagen,2014,399500,157416,Gasoline,Automatic,Convertible,foreign_used,4,Gray,,"2014 Volkswagen Eos (foreign used), a well-priced convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers.",
Envoy,GMC,2007,145000,178939,Gasoline,Automatic,SUV,foreign_used,7,Red,All-Wheel Drive,"2007 GMC Envoy (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Envoy,GMC,2008,186000,180887,Gasoline,Automatic,SUV,foreign_used,7,Gray,All-Wheel Drive,"2008 GMC Envoy (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Envoy XL,GMC,2004,131000,280000,Gasoline,Automatic,SUV,local_used,7,Black,,"2004 GMC Envoy XL (locally used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers.",
Envoy XL,GMC,2005,146500,217625,Gasoline,Automatic,SUV,foreign_used,7,Silver,,"2005 GMC Envoy XL (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers.",
Envoy XL,GMC,2006,135500,280000,Gasoline,Automatic,SUV,local_used,7,Gray,All-Wheel Drive,"2006 GMC Envoy XL (locally used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Suburban,GMC,1997,88500,280000,Gasoline,Automatic,SUV,foreign_used,7,Silver,All-Wheel Drive,"1997 GMC Suburban (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Suburban,GMC,1998,96000,280000,Gasoline,Automatic,SUV,foreign_used,7,White,,"1998 GMC Suburban (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers.",
Suburban,GMC,1999,102000,280000,Gasoline,Automatic,SUV,foreign_used,7,Black,,"1999 GMC Suburban (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers.",
Equator,Suzuki,2010,192000,193215,Gasoline,Automatic,Truck,foreign_used,2,Blue,All-Wheel Drive,"2010 Suzuki Equator (foreign used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Eos,Volkswagen,2015,434500,119151,Gasoline,Automatic,Convertible,foreign_used,4,Blue,,"2015 Volkswagen Eos (foreign used), a well-priced convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers.",
Eos,Volkswagen,2016,407500,102759,Gasoline,Automatic,Convertible,foreign_used,4,White,,"2016 Volkswagen Eos (foreign used), a well-priced convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers.",
Sunbird,Pontiac,1993,77000,280000,Gasoline,Manual,Coupe,foreign_used,4,Red,,"1993 Pontiac Sunbird (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Sunbird,Pontiac,1994,54500,280000,Gasoline,Manual,Sedan,foreign_used,5,Black,,"1994 Pontiac Sunbird (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Sunfire,Pontiac,2003,122500,280000,Gasoline,Manual,Coupe,foreign_used,4,Gray,,"2003 Pontiac Sunfire (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Sunfire,Pontiac,2004,122000,280000,Gasoline,Manual,Coupe,local_used,4,Gray,,"2004 Pontiac Sunfire (locally used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Entourage,Hyundai,2007,161500,270317,Gasoline,Automatic,Wagon,foreign_used,5,Blue,,"2007 Hyundai Entourage (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Sunbird,Pontiac,1992,70500,280000,Gasoline,Manual,Coupe,foreign_used,4,Red,,"1992 Pontiac Sunbird (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Envoy XUV,GMC,2005,120500,280000,Gasoline,Automatic,SUV,foreign_used,7,Black,All-Wheel Drive,"2005 GMC Envoy XUV (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Elantra,Hyundai,2015,175000,116179,Gasoline,Manual,Sedan,local_used,5,White,,"2015 Hyundai Elantra (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Sunfire,Pontiac,2005,120500,280000,Gasoline,Manual,Coupe,foreign_used,4,Gray,,"2005 Pontiac Sunfire (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Entourage,Hyundai,2008,205500,234439,Gasoline,Automatic,Wagon,foreign_used,5,Gray,,"2008 Hyundai Entourage (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Electra,Buick,1990,49500,280000,Gasoline,Automatic,Sedan,local_used,5,Gray,,"1990 Buick Electra (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
T100,Toyota,1998,117500,270646,Gasoline,Manual,Truck,foreign_used,2,Black,,"1998 Toyota T100 (foreign used), a budget-friendly truck well suited to hauling and rough roads — a good fit for adventure seekers.",
Tacoma,Toyota,2015,299500,128506,Gasoline,Manual,Truck,foreign_used,2,Blue,All-Wheel Drive,"2015 Toyota Tacoma (foreign used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
T100,Toyota,1996,113500,280000,Gasoline,Manual,Truck,local_used,2,White,,"1996 Toyota T100 (locally used), a budget-friendly truck well suited to hauling and rough roads — a good fit for adventure seekers.",
T100,Toyota,1997,103500,280000,Gasoline,Manual,Truck,foreign_used,2,White,All-Wheel Drive,"1997 Toyota T100 (foreign used), a budget-friendly truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Tacoma,Toyota,2016,301000,122799,Gasoline,Automatic,Truck,foreign_used,2,Gray,,"2016 Toyota Tacoma (foreign used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers.",
Tacoma,Toyota,2017,363500,101542,Gasoline,Automatic,Truck,foreign_used,2,Silver,All-Wheel Drive,"2017 Toyota Tacoma (foreign used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Eighty-Eight,Oldsmobile,1999,72000,280000,Gasoline,Automatic,Sedan,foreign_used,5,Blue,,"1999 Oldsmobile Eighty-Eight (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Elantra Coupe,Hyundai,2013,238500,125636,Gasoline,Automatic,Coupe,foreign_used,4,Black,,"2013 Hyundai Elantra Coupe (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Elantra Coupe,Hyundai,2014,201500,138423,Gasoline,Automatic,Coupe,local_used,4,White,,"2014 Hyundai Elantra Coupe (locally used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Eighty-Eight Royale,Oldsmobile,1995,60500,280000,Gasoline,Automatic,Sedan,foreign_used,5,Blue,,"1995 Oldsmobile Eighty-Eight Royale (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Eighty-Eight,Oldsmobile,1997,63500,280000,Gasoline,Automatic,Sedan,local_used,5,Silver,,"1997 Oldsmobile Eighty-Eight (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Eighty-Eight,Oldsmobile,1998,63500,280000,Gasoline,Automatic,Sedan,local_used,5,White,,"1998 Oldsmobile Eighty-Eight (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Eighty-Eight Royale,Oldsmobile,1994,54500,280000,Gasoline,Automatic,Sedan,foreign_used,5,Gray,,"1994 Oldsmobile Eighty-Eight Royale (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
E-250,Ford,1996,105500,280000,Gasoline,Automatic,Wagon,foreign_used,5,Silver,,"1996 Ford E-250 (foreign used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
E-250,Ford,1997,115500,280000,Gasoline,Automatic,Wagon,foreign_used,5,Silver,,"1997 Ford E-250 (foreign used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
E-250,Ford,1998,115500,280000,Gasoline,Automatic,Wagon,local_used,5,Silver,,"1998 Ford E-250 (locally used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
ECHO,Toyota,2005,92000,280000,Gasoline,Automatic,Sedan,local_used,5,Blue,,"2005 Toyota ECHO (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
